入れ込む,いれこむ
色落ち,いろおち
移動,いどう
陰毛,いんもう
遺族,いぞく
嫌らしい,いやらしい
一読,いちどく
一般的,いっぱんてき
痛み,いたみ
インドネシア,いんどねしあ
印紙,いんし
生ける,いける
一枚,いちまい
言い訳,いいわけ
一行,いちぎょう
インパクト,いんぱくと
異物,いぶつ
移行,いこう
一人一人,いちにんひとり
生き残る,いきのこる
行き届く,いきとどく
致す,いたす
遺書,いしょ
言い出す,いいだす
痛い,いたい
意欲的,いよくてき
インストラクター,いんすとらくたー
一般に,いっぱんに
一時,いちじ
一緒,いっしょ
一目,いちもく
一倍,いちばい
インテリア,いんてりあ
イコール,いこーる
居酒屋,いざかや
因果,いんが
いるか,いるか
一昔,いちむかし
一味,いちみ
一番乗り,いちばんのり
田舎,いなか
忙しい,いそがしい
一部,いちぶ
勇ましい,いさましい
言い返す,いいかえす
嫌気,いやけ
生きる,いきる
言い渡す,いいわたす
稲作,いなさく
一律,いちりつ
一種,いっしゅ
一説,いっせつ
意気込み,いきこみ
一例,いちれい
色紙,いろがみ
色気,いろけ
生きがい,いきがい
イントロ,いんとろ
衣食住,いしょくじゅう
至り,いたり
色,いろ
居合わせる,いあわせる
生き残り,いきのこり
医療,いりょう
いじめる,いじめる
