しわ,しわ
社交的,しゃこうてき
しかる,しかる
証拠,しょうこ
仕入れる,しいれる
象徴,しょうちょう
商法,しょうほう
周囲,しゅうい
塩辛,しおから
島々,しまじま
所有,しょゆう
指揮者,しきしゃ
食糧,しょくりょう
質,しつ
社会現象,しゃかいげんしょう
就学率,しゅうがくりつ
シロップ,しろっぷ
出費,しゅっぴ
借家,しゃくや
就学,しゅうがく
出港,しゅっこう
神道,しんとう
出馬,しゅつば
社交辞令,しゃこうじれい
真珠,しんじゅ
シャットアウト,しゃっとあうと
出生率,しゅっしょうりつ
消費者,しょうひしゃ
色調,しきちょう
仕上げる,しあげる
色覚,しきかく
執務,しつむ
市外,しがい
種々,しゅじゅ
車上,しゃじょう
失礼,しつれい
印,しるし
支配,しはい
初期,しょき
種別,しゅべつ
書棚,しょだな
シアター,しあたー
処罰,しょばつ
下地,したじ
ショコラ,しょこら
新色,しんしょく
食肉,しょくにく
食通,しょくつう
就業,しゅうぎょう
四苦八苦,しくはっく
社内報,しゃないほう
下着,したぎ
資本主義,しほんしゅぎ
仕出かす,しでかす
思慮,しりょ
車両,しゃりょう
守備,しゅび
傷害致死,しょうがいちし
周知,しゅうち
食後,しょくご
祝,しゅく
試食,ししょく
しゃれ,しゃれ
診察,しんさつ
シャワー,しゃわー
湿度,しつど
身体検査,しんたいけんさ
終日,しゅうじつ
しつけ,しつけ
死体,したい
茂る,しげる
主観的,しゅかんてき
しゃっくり,しゃっくり
縛り,しばり
釈放,しゃくほう
しゃぶる,しゃぶる
視野,しや
シチュー,しちゅー
修士,しゅうし
資質,ししつ
酒税,しゅぜい
植物,しょくぶつ
新生児,しんせいじ
しのぐ,しのぐ
氏名,しめい
証明書,しょうめいしょ
姉妹,しまい
心境,しんきょう
芝,しば
締め切る,しめきる
信ずる,しんずる
神秘的,しんぴてき
車掌,しゃしょう
神秘,しんぴ
所得,しょとく
食中毒,しょくちゅうどく
修正,しゅうせい
社会学,しゃかいがく
紹介,しょうかい
思想,しそう
勝負,しょうぶ
市場調査,しじょうちょうさ
消防署,しょうぼうしょ
身体障害者,しんたいしょうがいしゃ
初日,しょにち
出席,しゅっせき
試合,しあい
支部,しぶ
死亡,しぼう
週末,しゅうまつ
指導,しどう
静けさ,しずけさ
少数民族,しょうすうみんぞく
指導要領,しどうようりょう
勝利,しょうり
障子,しょうじ
社,しゃ
白,しろ
しびれる,しびれる
試作,しさく
塩辛い,しおからい
出題,しゅつだい
消防庁,しょうぼうちょう
思春期,ししゅんき
支社,ししゃ
将来,しょうらい
支局,しきょく
師走,しわす
ショック,しょっく
白バイ,しろばい
芝居,しばい
視聴者,しちょうしゃ
書物,しょもつ
商標,しょうひょう
しんみり,しんみり
四角い,しかくい
執行,しっこう
主張,しゅちょう
心理学,しんりがく
自然科学,しぜんかがく
社会性,しゃかいせい
初夜,しょや
職業病,しょくぎょうびょう
至急,しきゅう
震源地,しんげんち
障害,しょうがい
ショーツ,しょーつ
しか,しか
趣味,しゅみ
昭和,しょうわ
しなやか,しなやか
しゃぶしゃぶ,しゃぶしゃぶ
絞り込む,しぼりこむ
周期,しゅうき
心臓,しんぞう
昇格,しょうかく
シスター,しすたー
シード,しーど
小説,しょうせつ
社会福祉,しゃかいふくし
祝福,しゅくふく
宿命,しゅくめい
種類,しゅるい
写生,しゃせい
習字,しゅうじ
初回,しょかい
職務,しょくむ
飼育,しいく
消滅,しょうめつ
食生活,しょくせいかつ
進学,しんがく
伸縮,しんしゅく
退ける,しりぞける
車窓,しゃそう
初歩,しょほ
集合,しゅうごう
収縮,しゅうしゅく
祝日,しゅくじつ
植民地,しょくみんち
処女,しょじょ
芝生,しばふ
尻込み,しりごみ
ショッキング,しょっきんぐ
シャンプー,しゃんぷー
シュレッダー,しゅれっだー
宿舎,しゅくしゃ
少額,しょうがく
仕上げ,しあげ
資料,しりょう
小説家,しょうせつか
しぐれ,しぐれ
植物油,しょくぶつゆ
品数,しなかず
忍び込む,しのびこむ
新陳代謝,しんちんたいしゃ
周波数,しゅうはすう
親しみ,したしみ
思想家,しそうか
習熟,しゅうじゅく
取材,しゅざい
新婦,しんぷ
市営,しえい
消極,しょうきょく
しょうゆ,しょうゆ
招待,しょうたい
処方,しょほう
支度,したく
支持,しじ
シンクロ,しんくろ
修復,しゅうふく
社会復帰,しゃかいふっき
白髪染め,しらがぞめ
手法,しゅほう
私物,しぶつ
信頼,しんらい
白ける,しらける
支払い,しはらい
資本家,しほんか
シンガー,しんがー
就職,しゅうしょく
親切,しんせつ
主催,しゅさい
司祭,しさい
しょぼしょぼ,しょぼしょぼ
下調べ,したしらべ
ショート,しょーと
使用,しよう
審議,しんぎ
侵害,しんがい
示す,しめす
執筆,しっぴつ
省エネルギー,しょうえねるぎー
失望,しつぼう
宿題,しゅくだい
首脳,しゅのう
親しい,したしい
仕立てる,したてる
親族,しんぞく
省エネ,しょうえね
慕う,したう
首位,しゅい
少量,しょうりょう
寝台,しんだい
心理的,しんりてき
手術,しゅじゅつ
勝率,しょうりつ
消火器,しょうかき
商売,しょうばい
趣旨,しゅし
仕切る,しきる
社外,しゃがい
所蔵,しょぞう
植物性,しょくぶつせい
死神,しにがみ
出頭,しゅっとう
シルバー,しるばー
漆器,しっき
親類,しんるい
シネマ,しねま
肖像画,しょうぞうが
茂み,しげみ
写真機,しゃしんき
主体,しゅたい
親戚,しんせき
将棋,しょうぎ
暑中,しょちゅう
煮沸,しゃふつ
主婦,しゅふ
諸島,しょとう
素人,しろうと
しゃれる,しゃれる
死滅,しめつ
食する,しょくする
勝訴,しょうそ
消費,しょうひ
支出,ししゅつ
車種,しゃしゅ
染み込む,しみこむ
所在,しょざい
出力,しゅつりょく
絞り,しぼり
進歩,しんぽ
シュークリーム,しゅーくりーむ
ＣＤ,しーでぃー
知る,しる
車庫,しゃこ
終結,しゅうけつ
質屋,しちや
真相,しんそう
色素,しきそ
主席,しゅせき
質的,しつてき
シフト,しふと
首都,しゅと
シュガー,しゅがー
衝撃,しょうげき
正午,しょうご
閉める,しめる
消費税,しょうひぜい
出社,しゅっしゃ
社会主義,しゃかいしゅぎ
借用,しゃくよう
社長,しゃちょう
仕掛ける,しかける
下積み,したづみ
しっとり,しっとり
ＣＭ,しーえむ
収集,しゅうしゅう
死去,しきょ
親身,しんみ
出火,しゅっか
失態,しったい
縛る,しばる
診断書,しんだんしょ
出世,しゅっせ
シャツ,しゃつ
射殺,しゃさつ
シェーバー,しぇーばー
四国,しこく
執行猶予,しっこうゆうよ
質素,しっそ
下取り,したどり
宗派,しゅうは
忍び寄る,しのびよる
辛抱,しんぼう
書斎,しょさい
娼婦,しょうふ
色彩,しきさい
市長,しちょう
新書,しんしょ
集中,しゅうちゅう
新顔,しんがお
シンポジウム,しんぽじうむ
市議会,しぎかい
シェル,しぇる
新型,しんがた
白地,しろじ
少女,しょうじょ
シャッター,しゃったー
署名,しょめい
親しむ,したしむ
進行形,しんこうけい
所持,しょじ
週刊誌,しゅうかんし
しし,しし
少人数,しょうにんずう
処刑,しょけい
シェフ,しぇふ
しかと,しかと
神経質,しんけいしつ
従える,したがえる
種,しゅ
ショールーム,しょーるーむ
終身雇用,しゅうしんこよう
社会問題,しゃかいもんだい
狩猟,しゅりょう
新天地,しんてんち
しっかり,しっかり
主要,しゅよう
心配,しんぱい
深刻,しんこく
死別,しべつ
親密,しんみつ
シマウマ,しまうま
視聴率,しちょうりつ
沈める,しずめる
書籍,しょせき
新入り,しんいり
新作,しんさく
七,しち
修学旅行,しゅうがくりょこう
知らせ,しらせ
舌打ち,したうち
食物,しょくもつ
仕返し,しかえし
主流,しゅりゅう
生ずる,しょうずる
島国,しまぐに
しごき,しごき
車間距離,しゃかんきょり
幸せ,しあわせ
商業,しょうぎょう
春秋,しゅんじゅう
渋い,しぶい
新米,しんまい
疾走,しっそう
しわしわ,しわしわ
衝動,しょうどう
少子化,しょうしか
出場,しゅつじょう
次第,しだい
市場価格,しじょうかかく
締め付ける,しめつける
食材,しょくざい
周到,しゅうとう
塩気,しおけ
振動,しんどう
収入,しゅうにゅう
社風,しゃふう
しようがない,しようがない
霜,しも
白黒,しろくろ
触覚,しょっかく
新旧,しんきゅう
指数,しすう
勝利投手,しょうりとうしゅ
手話,しゅわ
焼ちゅう,しょうちゅう
下請け,したうけ
視力,しりょく
資産家,しさんか
市場,しじょう
収容,しゅうよう
シリンダー,しりんだー
祝儀,しゅうぎ
塩,しお
尺八,しゃくはち
ＣＧ,しーじー
シルエット,しるえっと
仕業,しわざ
しつこい,しつこい
心霊,しんれい
死刑,しけい
食品添加物,しょくひんてんかぶつ
宗教,しゅうきょう
知れる,しれる
収録,しゅうろく
奨励,しょうれい
下味,したあじ
島,しま
芝刈り,しばかり
修理,しゅうり
春菊,しゅんぎく
瞬発力,しゅんぱつりょく
進行,しんこう
塩漬け,しおづけ
思考,しこう
下書き,したがき
主題,しゅだい
染み,しみ
診療,しんりょう
書体,しょたい
消去,しょうきょ
下,した
始終,しじゅう
主役,しゅやく
所属,しょぞく
仕上がる,しあがる
初代,しょだい
侵略,しんりゃく
食堂,しょくどう
視察,しさつ
シェープアップ,しぇーぷあっぷ
使用者,しようしゃ
司会,しかい
シンプル,しんぷる
四季,しき
シンナー,しんなー
修行,しゅぎょう
将来性,しょうらいせい
支払う,しはらう
仕入れ,しいれ
新卒,しんそつ
試着,しちゃく
記す,しるす
支柱,しちゅう
指標,しひょう
仕方,しかた
しょっぱい,しょっぱい
塩味,しおあじ
尻,しり
障害者,しょうがいしゃ
仕舞う,しまう
守衛,しゅえい
称号,しょうごう
諸国,しょこく
象徴的,しょうちょうてき
痼,しこり
質疑,しつぎ
強いる,しいる
心中,しんじゅう
シナリオ,しなりお
仕上がり,しあがり
しぐさ,しぐさ
宿泊,しゅくはく
シューズ,しゅーず
調べ,しらべ
小学生,しょうがくせい
私語,しご
新入生,しんにゅうせい
執着,しゅうちゃく
処理,しょり
消極的,しょうきょくてき
所得税,しょとくぜい
死に目,しにめ
進化,しんか
手芸,しゅげい
シャーベット,しゃーべっと
勝敗,しょうはい
システムエンジニア,しすてむえんじにあ
新郎,しんろう
色盲,しきもう
祝祭日,しゅくさいじつ
書道,しょどう
シック,しっく
シール,しーる
仕向ける,しむける
シークレット,しーくれっと
社会教育,しゃかいきょういく
初老,しょろう
しゃがむ,しゃがむ
死ぬ,しぬ
食事,しょくじ
ＣＭソング,しーえむそんぐ
ＣＣ,しーしー
シャープ,しゃーぷ
車体,しゃたい
四角,しかく
失業,しつぎょう
出生,しゅっしょう
潮風,しおかぜ
審査,しんさ
しゅうと,しゅうと
襲撃,しゅうげき
知り合う,しりあう
指摘,してき
縮尺,しゅくしゃく
収穫,しゅうかく
食,しょく
消防士,しょうぼうし
仕打ち,しうち
初級,しょきゅう
神経,しんけい
心理,しんり
汁物,しるもの
終業式,しゅうぎょうしき
主義,しゅぎ
消化不良,しょうかふりょう
し烈,しれつ
小児科,しょうにか
震災,しんさい
親友,しんゆう
酒豪,しゅごう
謝礼,しゃれい
しゃべる,しゃべる
シンボル,しんぼる
深刻化,しんこくか
集積,しゅうせき
新築,しんちく
閉まる,しまる
処女作,しょじょさく
視聴覚,しちょうかく
識別,しきべつ
