独り占め,ひとりじめ
引き際,ひきぎわ
ヒント,ひんと
氷河,ひょうが
一人一人,ひとりひとり
火遊び,ひあそび
人任せ,ひとまかせ
一つ一つ,ひとつひとつ
引ける,ひける
引っ掛ける,ひっかける
ひらめき,ひらめき
必要,ひつよう
百八十度,ひゃくはちじゅうど
火花,ひばな
人並み,ひとなみ
引き継ぐ,ひきつぐ
悲鳴,ひめい
控え,ひかえ
ヒップ,ひっぷ
比例,ひれい
ヒステリック,ひすてりっく
被害妄想,ひがいもうそう
