話し手,はなして
ハイライト,はいらいと
半額,はんがく
吐き捨てる,はきすてる
生やす,はやす
ハーフ,はーふ
ハイジャック,はいじゃっく
励む,はげむ
廃止,はいし
話し言葉,はなしことば
繁盛,はんじょう
背景,はいけい
判子,はんこ
ハード,はーど
発泡スチロール,はっぽうすちろーる
八十,はちじゅう
ハードディスク,はーどでぃすく
払う,はらう
ハープ,はーぷ
初場所,はつばしょ
晴れがましい,はれがましい
白熱,はくねつ
配送,はいそう
半端,はんぱ
博識,はくしき
ハンマー,はんまー
花見,はなみ
話し声,はなしごえ
発症,はっしょう
張り出す,はりだす
運ぶ,はこぶ
走り,はしり
話す,はなす
薄力粉,はくりきこ
判明,はんめい
甚だしい,はなはだしい
排出,はいしゅつ
林,はやし
恥じる,はじる
剥がれる,はがれる
発言力,はつげんりょく
排水,はいすい
反射,はんしゃ
葉っぱ,はっぱ
柱,はしら
繁華街,はんかがい
発病,はつびょう
ハッピー,はっぴー
初雪,はつゆき
反する,はんする
破壊的,はかいてき
配備,はいび
ハンサム,はんさむ
配列,はいれつ
配属,はいぞく
入る,はいる
ハート,はーと
墓,はか
