皇居,こうきょ
後輩,こうはい
事事,ことごと
講ずる,こうずる
紅茶,こうちゃ
光熱費,こうねつひ
昆虫,こんちゅう
小雪,こゆき
好景気,こうけいき
校長,こうちょう
コンドーム,こんどーむ
コンテスト,こんてすと
告別式,こくべつしき
事足りる,ことたりる
根底,こんてい
公務,こうむ
細か,こまか
コーヒー豆,こーひーまめ
孤独,こどく
混浴,こんよく
国際法,こくさいほう
コスモス,こすもす
国民投票,こくみんとうひょう
コーナーキック,こーなーきっく
腰掛け,こしかけ
この世,このよ
効率的,こうりつてき
心強い,こころづよい
異なる,ことなる
恋しい,こいしい
コンタクト,こんたくと
告白,こくはく
好意的,こういてき
恋心,こいごころ
個性的,こせいてき
行進曲,こうしんきょく
コンパス,こんぱす
こけ,こけ
ころ,ころ
肥やす,こやす
降雨,こうう
工学,こうがく
コーヒー,こーひー
ココナッツ,ここなっつ
個別,こべつ
コリー,こりー
声,こえ
腰,こし
国家,こっか
このたび,このたび
こじれる,こじれる
声変わり,こえがわり
氷,こおり
こねる,こねる
こつ,こつ
紅白,こうはく
公共団体,こうきょうだんたい
公共事業,こうきょうじぎょう
今昔,こんじゃく
小皿,こざら
構成,こうせい
コンパクト,こんぱくと
これみよがし,これみよがし
交通網,こうつうもう
九つ,ここのつ
細切れ,こまぎれ
込み上げる,こみあげる
国税,こくぜい
昆布,こんぶ
個人的,こじんてき
効力,こうりょく
交互,こうご
甲羅,こうら
コンパクトディスク,こんぱくとでぃすく
小雨,こさめ
小麦粉,こむぎこ
個人差,こじんさ
降雨量,こううりょう
腰抜け,こしぬけ
校内,こうない
転ぶ,ころぶ
固有,こゆう
公団住宅,こうだんじゅうたく
心細い,こころぼそい
根絶,こんぜつ
コラム,こらむ
こらえる,こらえる
古来,こらい
懲らしめる,こらしめる
交付,こうふ
子供,こども
コミュニティー,こみゅにてぃー
拒む,こばむ
後期,こうき
後方,こうほう
コピーライター,こぴーらいたー
国名,こくめい
コレクター,これくたー
工費,こうひ
志す,こころざす
言葉,ことば
骨格,こっかく
試みに,こころみに
戸籍,こせき
好ましい,このましい
コントロール,こんとろーる
ここら,ここら
航路,こうろ
木立ち,こだち
構図,こうず
暦,こよみ
コアラ,こあら
コミック,こみっく
こいのぼり,こいのぼり
顧客,こきゃく
高層,こうそう
コンビニ,こんびに
こめかみ,こめかみ
混在,こんざい
国債,こくさい
公用語,こうようご
事柄,ことがら
心無い,こころない
米粒,こめつぶ
固定,こてい
今月,こんげつ
雇用,こよう
工業,こうぎょう
これら,これら
後悔,こうかい
高齢,こうれい
心地,ここち
国外,こくがい
殺す,ころす
降雪,こうせつ
コップ,こっぷ
肯定,こうてい
講義,こうぎ
公衆便所,こうしゅうべんじょ
公共放送,こうきょうほうそう
降水量,こうすいりょう
コーティング,こーてぃんぐ
公認会計士,こうにんかいけいし
考慮,こうりょ
幸福,こうふく
細やか,こまやか
高度成長,こうどせいちょう
公安委員会,こうあんいいんかい
今年度,こんねんど
ここ,ここ
子役,こやく
高圧,こうあつ
皇后,こうごう
小屋,こや
鼓膜,こまく
こちら,こちら
小銭,こぜに
考察,こうさつ
殺し,ころし
古今東西,ここんとうざい
コーナー,こーなー
酷使,こくし
事欠く,ことかく
今後,こんご
固定資産税,こていしさんぜい
国際都市,こくさいとし
呼吸器,こきゅうき
高速道路,こうそくどうろ
功績,こうせき
攻略,こうりゃく
九日,ここのか
声高,こわだか
こそく,こそく
心待ち,こころまち
交響曲,こうきょうきょく
ココア,ここあ
コンピューター,こんぴゅーたー
香料,こうりょう
紺色,こんいろ
小声,こごえ
怖い,こわい
コメディー,こめでぃー
擦れる,こすれる
衣替え,ころもがえ
焦がす,こがす
工具,こうぐ
コーラス,こーらす
公害,こうがい
